"phoneme","count","meanF1","meanF2","meanF3","meanF4","medianF1","medianF2","medianF3","medianF4","covF1F2Mean","covWithinF1Mean","covWithinF2Mean","covF1F2Median","covWithinF1Median","covWithinF2Median"
"a",26,826.348076923122,1614.16923076922,2979.89807692311,4133.43269230758,809.50000000013,1588.50000000001,2934.00000000099,4163.64999999949,-368.597761554726,5262.192096166,28077.2676153975,-368.597761554726,5262.192096166,28077.2676153975
"e",47,424.577659574472,2401.29042553193,3128.09999999993,4149.92978723399,381.999999999981,2416.99999999966,3115.39999999946,4151.50000000036,-11323.5288055011,11886.8980226669,25410.6761563221,-11323.5288055011,11886.8980226669,25410.6761563221
"o",12,404.733333333314,828.333333333301,2990.00833333345,3815.40000000023,415.25,825.5,3017.77500000026,3828.50000000047,3079.72651515171,4760.10196970228,6034.19696969756,3079.72651515171,4760.10196970228,6034.19696969756
